mes,dia_de_la_semana,dia,hora,minuto,cpu_percent,ram_percent,top_1,top_2,top_3
3,Monday,13,15,19,7.8,11.0,php,uwsgi,httpd
3,Monday,13,15,24,13.6,8.6,uwsgi,python3,httpd
3,Monday,13,15,27,10.4,8.4,uwsgi,python3,httpd
3,Monday,13,15,30,10.1,8.4,uwsgi,python3,httpd
3,Monday,13,15,33,8.7,8.4,uwsgi,python3,httpd
3,Monday,13,15,36,9.8,8.4,uwsgi,python3,httpd
3,Monday,13,15,39,8.8,8.5,uwsgi,python3,httpd
3,Monday,13,15,42,12.3,8.3,uwsgi,python3,httpd
3,Monday,13,15,45,8.8,8.4,uwsgi,python3,httpd
3,Monday,13,15,48,8.5,8.4,uwsgi,python3,httpd
3,Monday,13,15,51,9.3,8.5,uwsgi,python3,httpd
3,Monday,13,15,54,11.7,8.6,uwsgi,python3,httpd
3,Monday,13,15,57,8.4,8.6,uwsgi,python3,httpd
3,Monday,13,16,0,11.5,8.7,uwsgi,python3,httpd
3,Monday,13,16,3,10.1,8.3,uwsgi,python3,httpd
3,Monday,13,16,6,8.7,8.3,uwsgi,python3,httpd
3,Monday,13,16,9,7.1,8.4,uwsgi,python3,httpd
3,Monday,13,16,12,9.3,8.6,uwsgi,python3,httpd
3,Monday,13,16,15,8.1,8.6,uwsgi,python3,httpd
3,Monday,13,16,18,9.0,8.5,uwsgi,python3,httpd
3,Monday,13,16,21,11.1,8.4,uwsgi,python3,httpd
3,Monday,13,16,24,9.2,8.6,uwsgi,python3,httpd
3,Monday,13,16,27,9.2,8.4,uwsgi,python3,httpd
3,Monday,13,16,30,18.0,8.5,uwsgi,python3,httpd
3,Monday,13,16,33,16.7,8.4,uwsgi,python3,httpd
3,Monday,13,16,36,10.2,8.4,uwsgi,python3,httpd
3,Monday,13,16,39,8.2,8.4,uwsgi,python3,httpd
3,Monday,13,16,42,9.1,8.5,uwsgi,python3,httpd
3,Monday,13,16,45,8.3,8.4,uwsgi,python3,httpd
3,Monday,13,16,48,15.4,8.9,uwsgi,python3,httpd
3,Monday,13,16,51,9.4,8.3,uwsgi,python3,httpd
3,Monday,13,16,54,8.8,8.5,uwsgi,python3,httpd
3,Monday,13,16,57,10.2,9.0,uwsgi,python3,httpd
3,Monday,13,17,0,10.5,8.6,uwsgi,python3,httpd
3,Monday,13,17,3,13.7,8.3,uwsgi,python3,httpd
3,Monday,13,17,6,9.5,8.3,uwsgi,python3,httpd
3,Monday,13,17,9,8.7,8.4,uwsgi,python3,httpd
3,Monday,13,17,12,9.5,8.5,uwsgi,python3,httpd
3,Monday,13,17,15,9.2,8.4,uwsgi,python3,httpd
3,Monday,13,17,18,14.5,8.3,uwsgi,httpd,php
3,Monday,13,17,21,9.1,8.4,uwsgi,httpd,php
3,Monday,13,17,24,12.2,8.9,uwsgi,httpd,php
3,Monday,13,17,27,8.8,8.2,uwsgi,httpd,amazon-cloudwatch-agent
3,Monday,13,17,30,10.4,8.7,uwsgi,httpd,php
3,Monday,13,17,33,10.6,8.3,uwsgi,httpd,amazon-cloudwatch-agent
3,Monday,13,17,36,9.0,8.5,uwsgi,httpd,php
3,Monday,13,17,39,8.5,8.4,uwsgi,httpd,php
3,Monday,13,17,42,8.9,8.6,uwsgi,httpd,php
3,Monday,13,17,45,8.5,8.7,httpd,uwsgi,amazon-cloudwatch-agent
3,Monday,13,17,48,9.7,8.6,uwsgi,httpd,php
3,Monday,13,17,51,9.2,9.0,uwsgi,python3,httpd
3,Monday,13,17,54,9.9,8.6,uwsgi,python3,httpd
3,Monday,13,17,57,8.8,8.3,uwsgi,python3,httpd
3,Monday,13,18,0,9.1,8.8,uwsgi,python3,httpd
3,Monday,13,18,3,7.0,8.6,uwsgi,python3,httpd
3,Monday,13,18,6,9.2,8.6,uwsgi,python3,httpd
3,Monday,13,18,9,8.9,8.4,uwsgi,python3,httpd
3,Monday,13,18,12,9.4,8.6,uwsgi,python3,httpd
3,Monday,13,18,15,8.9,8.7,uwsgi,python3,httpd
3,Monday,13,18,18,22.3,8.7,uwsgi,python3,httpd
3,Monday,13,18,21,9.5,8.3,uwsgi,python3,httpd
3,Monday,13,18,24,10.4,8.5,uwsgi,python3,httpd
3,Monday,13,18,27,6.4,8.3,uwsgi,python3,httpd
3,Monday,13,18,30,9.9,8.8,uwsgi,python3,httpd
3,Monday,13,18,33,9.2,8.3,uwsgi,python3,httpd
3,Monday,13,18,36,11.2,8.5,uwsgi,python3,httpd
3,Monday,13,18,39,9.4,8.4,uwsgi,python3,httpd
3,Monday,13,18,42,9.8,8.3,uwsgi,python3,httpd
3,Monday,13,18,45,8.0,8.4,uwsgi,python3,httpd
3,Monday,13,18,48,8.7,8.3,uwsgi,python3,httpd
3,Monday,13,18,51,10.7,8.3,uwsgi,python3,httpd
3,Monday,13,18,54,11.2,8.6,uwsgi,python3,httpd
3,Monday,13,18,57,8.5,8.4,uwsgi,python3,httpd
3,Monday,13,19,0,10.1,8.7,uwsgi,python3,httpd
3,Monday,13,19,3,16.3,8.4,uwsgi,python3,httpd
3,Monday,13,19,6,10.6,8.5,uwsgi,python3,httpd
3,Monday,13,19,9,8.7,8.5,uwsgi,python3,httpd
3,Monday,13,19,12,9.5,8.3,uwsgi,python3,httpd
3,Monday,13,19,15,10.6,8.4,uwsgi,python3,httpd
3,Monday,13,19,18,9.2,8.2,uwsgi,python3,httpd
3,Monday,13,19,21,8.7,8.4,uwsgi,python3,httpd
3,Monday,13,19,24,11.3,8.9,uwsgi,python3,httpd
3,Monday,13,19,27,9.0,8.3,uwsgi,python3,httpd
3,Monday,13,19,30,11.7,8.6,uwsgi,python3,httpd
3,Monday,13,19,33,9.7,8.3,uwsgi,python3,httpd
3,Monday,13,19,36,11.3,8.3,uwsgi,python3,httpd
3,Monday,13,19,39,8.5,8.3,uwsgi,python3,httpd
3,Monday,13,19,42,10.8,8.4,uwsgi,python3,httpd
3,Monday,13,19,45,11.1,8.5,uwsgi,python3,httpd
3,Monday,13,19,48,10.7,8.5,uwsgi,httpd,php
3,Monday,13,19,51,8.2,8.3,uwsgi,httpd,php
3,Monday,13,19,54,9.6,8.4,uwsgi,httpd,php
3,Monday,13,19,57,8.6,8.8,uwsgi,httpd,php
3,Monday,13,20,0,18.1,8.7,uwsgi,httpd,php
3,Monday,13,20,3,9.6,8.2,uwsgi,httpd,amazon-cloudwatch-agent
3,Monday,13,20,6,8.6,8.3,uwsgi,httpd,php
3,Monday,13,20,9,9.4,8.2,uwsgi,httpd,php
3,Monday,13,20,12,10.5,8.2,uwsgi,httpd,php
3,Monday,13,20,15,8.4,8.2,uwsgi,httpd,php
3,Monday,13,20,18,8.4,8.2,uwsgi,httpd,php
3,Monday,13,20,21,7.0,8.3,uwsgi,httpd,php
3,Monday,13,20,24,9.9,8.0,uwsgi,python3,httpd
3,Monday,13,20,27,8.7,8.1,uwsgi,python3,httpd
3,Monday,13,20,30,8.9,8.3,uwsgi,python3,httpd
3,Monday,13,20,33,9.8,8.2,uwsgi,python3,httpd
3,Monday,13,20,36,11.2,8.4,uwsgi,python3,httpd
3,Monday,13,20,39,10.8,8.1,uwsgi,python3,httpd
3,Monday,13,20,42,9.7,8.4,uwsgi,python3,httpd
3,Monday,13,20,45,10.8,8.0,uwsgi,python3,httpd
3,Monday,13,20,48,10.4,8.4,uwsgi,python3,httpd
3,Monday,13,20,51,8.5,8.2,uwsgi,python3,httpd
3,Monday,13,20,54,10.5,8.3,uwsgi,python3,httpd
3,Monday,13,20,57,10.1,8.2,uwsgi,python3,httpd
3,Monday,13,21,0,20.2,8.6,uwsgi,python3,httpd
3,Monday,13,21,3,8.7,8.2,uwsgi,python3,httpd
3,Monday,13,21,6,8.6,8.2,uwsgi,python3,httpd
3,Monday,13,21,9,8.8,8.2,uwsgi,python3,httpd
3,Monday,13,21,12,10.4,8.4,uwsgi,python3,httpd
3,Monday,13,21,15,17.6,8.6,uwsgi,python3,httpd
3,Monday,13,21,18,8.1,8.2,uwsgi,python3,httpd
3,Monday,13,21,21,8.5,8.3,uwsgi,python3,httpd
3,Monday,13,21,24,11.6,8.2,uwsgi,python3,httpd
